,bottom_1,bottom_16,bottom_3,bottom_32,bottom_5,sample,sample_id_bald,sample_id_glasses,sample_id_gray_hair,sample_id_hat,sample_id_male,sample_id_young,top_1,top_16,top_3,top_32,top_5
nbatches,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.25952038168907166,0.26340100169181824,0.2598769962787628,0.2655656933784485,0.26018214225769043,0.31962859630584717,0.9080859422683716,0.0,0.8273828029632568,0.875781238079071,0.5165234208106995,0.49757811427116394,0.3217872381210327,0.3048397898674011,0.31639039516448975,0.29979050159454346,0.31326407194137573
std,0.026419082656502724,0.010443505831062794,0.017518727108836174,0.007927173748612404,0.014431695453822613,0.010243980213999748,0.01779342070221901,0.0,0.021131396293640137,0.01970190368592739,0.032794296741485596,0.028214100748300552,0.007377721834927797,0.004942155908793211,0.005314330570399761,0.00467105396091938,0.0051672314293682575
min,0.19796136021614075,0.24168497323989868,0.21930833160877228,0.2506338655948639,0.22712932527065277,0.2974291443824768,0.873046875,0.0,0.763671875,0.83203125,0.451171875,0.435546875,0.30462366342544556,0.29502809047698975,0.30541539192199707,0.2908559739589691,0.3029235005378723
25%,0.2459385022521019,0.2559278532862663,0.24927977845072746,0.25975752621889114,0.2500433325767517,0.3131151348352432,0.89306640625,0.0,0.81640625,0.86328125,0.49267578125,0.482421875,0.31656185537576675,0.30201268941164017,0.3136504888534546,0.2970471605658531,0.30995936691761017
50%,0.26159361004829407,0.2635261118412018,0.2601836025714874,0.2654068171977997,0.2612900733947754,0.31939566135406494,0.908203125,0.0,0.8291015625,0.87890625,0.5166015625,0.5,0.3211830109357834,0.304253950715065,0.31715647876262665,0.29903578758239746,0.3136240392923355
75%,0.27582118660211563,0.2695700079202652,0.27146533876657486,0.27099716663360596,0.26977144181728363,0.32565274834632874,0.92138671875,0.0,0.841796875,0.890625,0.533203125,0.51318359375,0.3267133980989456,0.30718913674354553,0.3188316747546196,0.3024655655026436,0.31530945748090744
max,0.3280106484889984,0.28843969106674194,0.29895782470703125,0.28543639183044434,0.2916322350502014,0.34188368916511536,0.943359375,0.0,0.8671875,0.91796875,0.595703125,0.576171875,0.3392166495323181,0.3198583722114563,0.3336825370788574,0.3139550983905792,0.3286997973918915
